Catálogo de Livros da Ateliê Editoral,,,,
,,,,
Lista gerada em 29/06/2020 - 22:28:52,,,,
,,,,
,,,,
Titulo,Isbn,Autor,Assunto,Valor
50 Tons da Vida,97-885-7480-817-8,Roberto Livianu,"Literatura brasileira, Crônicas","R$39,90"
530 Gramas de Ilustrações,85-7480-002-3,Marcelo Cipis,"Arte, Ilustração e pintura, Humor","R$63,00"
A Um - Poemas,85-85851-40-6,Robert Creeley,"Poesia, Literatura estrangeira, Bilíngue, Ilustrado, Tradução","R$41,00"
A.S.A. - Associação dos Solitários Anônimos,85-7480-132-1,Rosario Fusco,"Literatura brasileira, Romance","R$58,00"
"Acústica Musical em Palavras e Sons, A",978-85-7480-649-5,Flo Menezes,"Ilustrado, Música","R$81,00"
Adeus Penderama e Outros Escritos,978-85-7480-377-7,José Paulo Cavalcanti Filho,"Memória, Literatura brasileira","R$42,00"
Adoniran Barbosa - O Poeta da Cidade,85-7480-114-3,Francisco Rocha,"Música, Memória, Ilustrado","R$53,00"
Adorável Criatura Frankenstein,85-7480-215-8,Ademir Assunção,"Literatura brasileira, Romance","R$42,00"
"Afeto Autoritário, O - Televisão, Ética e Democracia",85-7480-230-1,Renato Janine Ribeiro,"Comunicação, Sociologia e Sociedade, Cultura","R$42,00"
"Afinador de Passarinhos, O",978-85-7480-550-4,Gil Perini,"Literatura brasileira, Contos","R$38,00"
Albert Camus - Um Elogio do Ensaio,85-85851-70-8,Manuel da Costa Pinto,"Crítica literária, Literatura estrangeira","R$42,00"
Aldo Manuzio - Editor. Tipógrafo. Livreiro,85-7480-235-2,Enric Satué,"Design, Tipografia, Artes gráficas, Ilustrado","R$68,00"
Alguma Crítica,85-7480-068-6,João Alexandre Barbosa,"Crítica literária, Literatura","R$55,00"
Almanaque Tipográfico Brasileiro,978-85-7480-418-7,Carlos M. Horcades,"Design, Tipografia, Almanaque, Artes gráficas, Ilustrado","R$67,00"
Alongamento,85-7480-264-6,Sérgio Medeiros,"Literatura brasileira, Poesia","R$51,00"
"Altar & o Trono, O - Dinâmica do Poder em O Alienista",978-85-7480-511-5,Ivan Teixeira,"Literatura brasileira, Crítica literária","R$106,00"
Amaro Macedo - O Solitário do Cerrado,978-85-7480-430-9,"Gil Felippe, Maria do Carmo Duarte Macedo","Memória, Biografia, Botânica, Ilustrado","R$39,00"
Amers / Marcas Marinhas,85-7480-193-3,"Saint-John Perse, Mauro Gama","Poesia, Literatura estrangeira, Bilíngue","R$86,00"
Ancora Medicinal para Conservar a Vida com Saúde,85-7480-195-X,Francisco da Fonseca Henriquez,"Gastronomia, Culinária, Medicina e Saúde","R$92,00"
Andaimes,978-85-7480-316-6,Milton Torres,"Literatura brasileira, Poesia","R$58,00"
"Anfiteatro, O - Textos sobre Medicina",85-7480-066-X,Pedro Nava,"Memória, Medicina e Saúde, Ilustrado","R$40,00"
Angola e Moçambique - Experiência Colonial e Territórios Literários,85-7480-251-4,Rita Chaves,"Crítica literária, Literatura africana","R$45,00"
Angu de Sangue - 3a. ed.,978-85-7480-835-2,Marcelino Freire,"Contos, Ilustrado, Literatura brasileira","R$52,00"
