"Preço,Categoria,Data"
"1902,PF,18/6/18"
"39406,PF,19/6/18"
"17496,PF,2/7/18"
"20205,PF,2/7/18"
"3867,PF,2/7/18"
"44938,PF,15/6/18"
"40209,PF,2/7/18"
"36520,PF,15/6/18"
"13562,PF,1/7/18"
"44502,PJ,30/6/18"
"54816,PJ,29/6/18"
"96052,PJ,28/6/18"
"73931,PJ,2/7/18"
"21150,PJ,26/6/18"
"18201,PJ,25/6/18"
"23682,PJ,24/6/18"
"36593,PJ,23/6/18"
"61983,PJ,2/7/18"
"45182,PJ,21/6/18"
"53675,PJ,20/6/18"
"77434,PJ,19/6/18"
"43020,PJ,18/6/18"
"21915,PJ,17/6/18"
"98945,PJ,16/6/18"
"3125,PJ,15/6/18"
"4032,PJ,14/6/18"
"89874,PJ,13/6/18"
"64301,PJ,2/7/18"
"45650,PJ,11/6/18"
"11701,PJ,10/6/18"
"9245,PJ,9/6/18"
"31409,PJ,8/6/18"
"6688,PF,7/6/18"
"74459,PJ,6/6/18"
"33015,PJ,5/6/18"
"11686,PJ,4/6/18"
"35297,PJ,3/6/18"
"87182,PJ,2/6/18"
"70342,PJ,1/6/18"
"69779,PJ,9/6/18"
"54150,PJ,17/6/18"
"52012,PJ,4/6/18"
"95051,PJ,17/6/18"
"26287,PJ,17/6/18"
"40323,PJ,4/6/18"
"31408,PJ,9/6/18"
